Disease,Description,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Hypoglycemia,"Hypoglycemia is a condition characterized by abnormally low blood sugar (glucose) levels, which can lead to various neurological and physiological symptoms. Glucose is the body’s main energy source, and when levels drop too low, it can cause symptoms such as shakiness, sweating, confusion, dizziness, hunger, irritability, rapid heartbeat, anxiety, weakness, blurred vision, headaches, and difficulty concentrating. In severe cases, hypoglycemia can lead to seizures, loss of consciousness, or coma. It is most commonly associated with diabetes, particularly in individuals taking insulin or certain oral diabetes medications that lower blood sugar. However, hypoglycemia can also occur in non-diabetic individuals due to prolonged fasting, excessive alcohol consumption, hormonal imbalances, critical illnesses, or insulin overproduction by the pancreas (such as in insulinomas). Reactive hypoglycemia can occur after meals due to excessive insulin release. Symptoms typically improve after consuming fast-acting carbohydrates like fruit juice, glucose tablets, or candy. Preventing hypoglycemia involves monitoring blood sugar levels, adjusting medication dosages, eating balanced meals with sufficient carbohydrates, and avoiding excessive alcohol intake. Severe cases may require medical intervention, including glucagon injections or intravenous glucose administration.",lie down on side,check in pulse,drink sugary drinks,consult doctor
Acne,"Acne vulgaris is a chronic inflammatory skin condition that affects the sebaceous (oil) glands and hair follicles, leading to the formation of comedones (blackheads and whiteheads), papules, pustules, nodules, and cysts. It commonly appears on the face, chest, shoulders, and back. Acne is most prevalent during adolescence due to hormonal changes that increase sebum (oil) production, but it can also affect adults. Symptoms include pimples, redness, inflammation, skin tenderness, oily skin, and, in severe cases, deep painful nodules and cysts that may leave scars. Factors that contribute to acne include excess oil production, clogged pores, bacterial overgrowth (Propionibacterium acnes), hormonal imbalances, genetic predisposition, stress, certain medications (steroids, lithium), and dietary triggers such as high glycemic foods and dairy. Acne may worsen due to improper skin care, excessive face touching, or the use of comedogenic cosmetics. Treatment options range from topical creams (benzoyl peroxide, salicylic acid, retinoids), antibiotics, oral contraceptives, isotretinoin (for severe cases), and lifestyle modifications such as maintaining proper skin hygiene and avoiding triggers. While acne is not dangerous, it can lead to emotional distress, reduced self-esteem, and permanent scarring if not managed properly.",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
Diabetes,"Diabetes is a chronic metabolic disorder characterized by high blood glucose (blood sugar) levels due to the body's inability to produce or properly use insulin, a hormone responsible for regulating blood sugar. There are three main types of diabetes: type 1 diabetes, an autoimmune condition in which the immune system destroys insulin-producing cells in the pancreas; type 2 diabetes, which results from insulin resistance and is often linked to obesity and lifestyle factors; and gestational diabetes, which occurs during pregnancy and usually resolves after childbirth. Symptoms of diabetes include frequent urination, excessive thirst, extreme hunger, unexplained weight loss, fatigue, blurred vision, slow wound healing, tingling or numbness in hands and feet, recurrent infections, and dry skin. If left untreated, diabetes can lead to severe complications such as nerve damage (neuropathy), kidney disease (nephropathy), vision problems (retinopathy), cardiovascular disease, and an increased risk of infections. Risk factors for diabetes include genetic predisposition, obesity, a sedentary lifestyle, high blood pressure, high cholesterol, and poor dietary habits. Management of diabetes includes blood sugar monitoring, insulin therapy or oral medications (such as metformin, sulfonylureas, or SGLT2 inhibitors), regular physical activity, a balanced diet, and weight management. In severe cases, complications like diabetic ketoacidosis (DKA) or hyperosmolar hyperglycemic state (HHS) can develop, requiring emergency medical attention.",have balanced diet,exercise,consult doctor,follow up
Impetigo,"Impetigo is a highly contagious bacterial skin infection that primarily affects young children but can also occur in adults. It is caused by Staphylococcus aureus or Streptococcus pyogenes bacteria, which enter the skin through cuts, insect bites, or abrasions. The infection usually presents as red sores that quickly rupture and ooze fluid before forming a thick, honey-colored crust. These sores typically appear around the nose, mouth, hands, and feet but can spread to other areas of the body through direct contact or shared items like towels, clothing, or toys. Symptoms of impetigo include itchy or painful lesions, redness, swelling, fluid-filled blisters, and, in severe cases, fever and swollen lymph nodes. There are two primary forms of impetigo: non-bullous impetigo, which causes small, red sores that break open and crust over, and bullous impetigo, which leads to larger fluid-filled blisters that may take longer to heal. If left untreated, impetigo can cause complications such as cellulitis (a deeper skin infection), post-streptococcal glomerulonephritis (a rare kidney condition), or scarring. Treatment involves topical or oral antibiotics such as mupirocin, cephalexin, or amoxicillin-clavulanate, along with good hygiene practices to prevent spreading the infection. Keeping the affected area clean and covered can help speed up recovery and reduce transmission.",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
Hypertension,"Hypertension, also known as high blood pressure, is a chronic condition in which the force of blood against the artery walls is consistently too high. It is often called the ""silent killer"" because it typically does not cause noticeable symptoms until significant damage has occurred. Blood pressure is measured in two values: systolic pressure (the force when the heart beats) and diastolic pressure (the force when the heart rests between beats). A normal blood pressure reading is around 120/80 mmHg, while hypertension is generally diagnosed when readings consistently exceed 130/80 mmHg. Over time, uncontrolled hypertension can lead to serious complications such as heart disease, stroke, kidney failure, vision loss, aneurysms, and cognitive decline. Common risk factors for hypertension include obesity, excessive salt intake, high cholesterol, lack of physical activity, smoking, alcohol consumption, stress, genetics, and underlying conditions such as diabetes or kidney disease. Symptoms, when they do appear, may include headaches, dizziness, nosebleeds, chest pain, shortness of breath, and visual disturbances. Management of hypertension includes lifestyle changes such as reducing sodium intake, increasing physical activity, maintaining a healthy weight, managing stress, and avoiding tobacco and excessive alcohol. Medications such as diuretics, beta-blockers, ACE inhibitors, calcium channel blockers, and angiotensin II receptor blockers (ARBs) are often prescribed to help regulate blood pressure. Regular monitoring and early intervention are crucial to preventing long-term complications.",meditation,salt baths,reduce stress,get proper sleep
Peptic ulcer diseae,"Peptic ulcer disease (PUD) is a condition in which open sores or ulcers form in the lining of the stomach, the first part of the small intestine (duodenum), or, in rare cases, the lower esophagus. These ulcers develop when the protective mucus lining of the digestive tract is damaged, allowing stomach acid to erode the underlying tissue. The two most common causes of peptic ulcers are infection with Helicobacter pylori (H. pylori) bacteria and long-term use of nonsteroidal anti-inflammatory drugs (NSAIDs) such as aspirin and ibuprofen. Symptoms of peptic ulcer disease include burning stomach pain (often occurring between meals or at night), bloating, nausea, vomiting, heartburn, loss of appetite, unintentional weight loss, and dark or tarry stools (indicating bleeding). In severe cases, complications such as internal bleeding, perforation (a hole in the stomach or intestine), and gastric obstruction can occur, leading to serious health risks. Risk factors include excessive alcohol consumption, smoking, stress, and consuming spicy or acidic foods, which can aggravate symptoms but do not directly cause ulcers. Diagnosis is usually confirmed through endoscopy, breath tests for H. pylori, or imaging studies. Treatment includes proton pump inhibitors (PPIs) or H2-receptor blockers to reduce stomach acid, antibiotics to eradicate H. pylori, and lifestyle modifications such as avoiding NSAIDs, reducing alcohol intake, and maintaining a healthy diet. In severe cases, surgery may be necessary to address complications.",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
Dimorphic hemorrhoids(piles),"Hemorrhoids, commonly referred to as piles, are swollen and inflamed veins in the lower rectum and anus that can cause discomfort, bleeding, and itching. Hemorrhoids are classified into two main types: internal hemorrhoids, which develop inside the rectum and are usually painless but can cause rectal bleeding, and external hemorrhoids, which form under the skin around the anus and may cause significant pain, swelling, and irritation. In some cases, hemorrhoids can become thrombosed, meaning that a blood clot has formed inside the swollen vein, leading to severe pain and inflammation. Symptoms of hemorrhoids include rectal pain, itching, swelling, bleeding during bowel movements, mucus discharge, and a feeling of incomplete evacuation. Common causes of hemorrhoids include chronic constipation, straining during bowel movements, prolonged sitting, obesity, pregnancy, a low-fiber diet, and lack of physical activity. Diagnosis is typically made through physical examination, digital rectal examination, or anoscopy. Treatment includes lifestyle changes such as increasing fiber intake, drinking plenty of water, avoiding prolonged sitting, and using stool softeners to reduce straining. Over-the-counter creams containing hydrocortisone, warm sitz baths, and ice packs can help relieve symptoms. In more severe cases, medical procedures such as rubber band ligation, sclerotherapy, infrared coagulation, or surgical removal (hemorrhoidectomy) may be necessary to manage persistent or complicated hemorrhoids.",avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
Common Cold,"The common cold is a viral infection of the upper respiratory tract that primarily affects the nose, throat, and sinuses. It is caused by various viruses, with the rhinovirus being the most common culprit. The infection spreads through airborne droplets when an infected person coughs or sneezes, as well as through direct contact with contaminated surfaces. Symptoms of the common cold include nasal congestion, runny nose, sneezing, sore throat, coughing, mild fever, headache, body aches, watery eyes, fatigue, and postnasal drip. The severity of symptoms can vary, but most people recover within 7 to 10 days. The cold is often confused with the flu, but influenza typically causes more severe symptoms, including high fever, chills, and muscle pain. Risk factors for catching a cold include weakened immunity, close contact with infected individuals, seasonal changes, stress, and lack of sleep. There is no specific cure for the common cold, and treatment focuses on symptom relief through rest, hydration, over-the-counter decongestants, antihistamines, pain relievers, and throat lozenges. Preventive measures include frequent handwashing, avoiding touching the face, staying away from sick individuals, and maintaining a healthy immune system through proper nutrition and regular exercise. While generally harmless, complications such as sinus infections, ear infections, or bronchitis can arise, particularly in individuals with weakened immune systems, asthma, or chronic respiratory conditions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Chicken pox,"Chickenpox is a highly contagious viral infection caused by the varicella-zoster virus (VZV), primarily affecting children but also occurring in adults who have not been vaccinated or previously infected. The disease spreads through respiratory droplets when an infected person coughs or sneezes, as well as through direct contact with the fluid from chickenpox blisters. The incubation period is typically 10 to 21 days after exposure, followed by the onset of symptoms. The hallmark symptom of chickenpox is an itchy, blister-like rash that first appears on the chest, back, and face before spreading to the entire body, including the scalp, mouth, and genitals. The rash progresses through stages, starting as red spots (macules), then turning into raised bumps (papules), followed by fluid-filled blisters (vesicles) that eventually burst and scab over. Other symptoms include fever, fatigue, headache, sore throat, and loss of appetite. Chickenpox is usually mild but can lead to complications such as bacterial skin infections, pneumonia, encephalitis (brain inflammation), and, in rare cases, severe disease in immunocompromised individuals, pregnant women, or newborns. The varicella vaccine provides effective protection against the virus, reducing the risk of severe infection. Treatment focuses on symptom relief, including antihistamines for itching, acetaminophen for fever, and antiviral medications such as acyclovir for high-risk individuals. Patients should avoid scratching blisters to prevent scarring and secondary infections. Once a person recovers, the virus remains dormant in nerve tissues and can reactivate later in life as shingles (herpes zoster), a painful rash that follows nerve pathways.",use neem in bathing ,consume neem leaves,take vaccine,avoid public places
Cervical spondylosis,"Cervical spondylosis, also known as cervical osteoarthritis or degenerative disc disease, is a condition caused by age-related wear and tear of the spinal discs and joints in the neck (cervical spine). Over time, the spinal discs dehydrate, shrink, and lose their cushioning ability, leading to the formation of bone spurs (osteophytes) and the narrowing of the spinal canal (spinal stenosis). This degeneration can compress nearby nerves and cause symptoms such as neck pain, stiffness, headaches radiating from the neck, tingling or numbness in the arms and hands, muscle weakness, dizziness, and in severe cases, difficulty walking or loss of bladder control. Risk factors include aging, genetics, poor posture, repetitive neck movements, smoking, a sedentary lifestyle, and previous neck injuries. Diagnosis is typically made through physical examination, imaging tests such as X-rays, MRI, or CT scans, and nerve conduction studies if nerve involvement is suspected. Treatment focuses on managing pain and improving mobility through physical therapy, neck exercises, nonsteroidal anti-inflammatory drugs (NSAIDs), muscle relaxants, and corticosteroid injections. In severe cases, surgery such as spinal fusion or decompression may be required to relieve nerve compression and restore function. Preventive measures include maintaining good posture, engaging in regular neck-strengthening exercises, avoiding prolonged screen time, and using ergonomic work setups.",use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
Hyperthyroidism,"Hyperthyroidism, or an overactive thyroid, is a condition in which the thyroid gland produces excessive amounts of thyroxine (T4) and triiodothyronine (T3), leading to an accelerated metabolism and a wide range of symptoms. The most common cause of hyperthyroidism is Graves' disease, an autoimmune disorder in which the immune system mistakenly attacks the thyroid gland, causing it to become overactive. Other causes include thyroid nodules, thyroiditis (inflammation of the thyroid), excessive iodine intake, and taking too much thyroid hormone medication. Symptoms of hyperthyroidism include unexplained weight loss, rapid or irregular heartbeat (palpitations), increased appetite, sweating, heat intolerance, nervousness, anxiety, tremors, insomnia, muscle weakness, frequent bowel movements, and thinning hair. In some cases, patients may develop an enlarged thyroid gland (goiter) or bulging eyes (exophthalmos) due to Graves' disease. If left untreated, hyperthyroidism can lead to complications such as osteoporosis, heart disease, atrial fibrillation, and thyrotoxic crisis (thyroid storm), a life-threatening condition characterized by extremely high thyroid hormone levels. Diagnosis is made through blood tests measuring thyroid hormone levels (TSH, T3, T4), radioactive iodine uptake scans, and thyroid ultrasound. Treatment options include antithyroid medications such as methimazole or propylthiouracil to reduce hormone production, beta-blockers to manage symptoms, radioactive iodine therapy to shrink the thyroid gland, and, in severe cases, thyroid surgery (thyroidectomy). Patients with hyperthyroidism should monitor their condition regularly and make lifestyle modifications such as managing stress, maintaining a balanced diet, and avoiding excessive iodine intake.",eat healthy,massage,use lemon balm,take radioactive iodine treatment
Urinary tract infection,"A urinary tract infection (UTI) is a bacterial infection that affects any part of the urinary system, including the kidneys, ureters, bladder, and urethra. Most UTIs are caused by Escherichia coli (E. coli), a bacteria commonly found in the gastrointestinal tract, which can enter the urinary tract through the urethra and multiply in the bladder. UTIs are more common in women due to their shorter urethra, which allows bacteria to reach the bladder more easily. Symptoms of a UTI include a strong, persistent urge to urinate, burning sensation during urination, cloudy or strong-smelling urine, pelvic pain, lower abdominal discomfort, blood in the urine (hematuria), and, in more severe cases, fever and chills. If the infection spreads to the kidneys (pyelonephritis), symptoms may include back pain, nausea, vomiting, and high fever. Risk factors for UTIs include poor hygiene, sexual activity, urinary retention, dehydration, menopause, pregnancy, diabetes, and the use of catheters. Diagnosis is confirmed through urinalysis, urine culture, and, in recurrent cases, imaging tests such as ultrasound or CT scans. Treatment typically involves antibiotics such as nitrofurantoin, trimethoprim-sulfamethoxazole, or ciprofloxacin, along with increased fluid intake to help flush out bacteria. Preventive measures include maintaining good personal hygiene, wiping from front to back after using the toilet, urinating after intercourse, drinking plenty of water, and avoiding excessive use of irritating feminine hygiene products. Recurrent UTIs may require further medical evaluation to rule out underlying conditions such as kidney stones or structural abnormalities in the urinary tract.",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
Varicose veins,"Varicose veins are enlarged, twisted, and swollen veins that appear as bulging, blue or purple blood vessels visible through the skin, most commonly occurring on the legs and feet. These veins develop when the valves in the veins become weak or damaged, allowing blood to pool and causing the veins to stretch and twist. Common symptoms of varicose veins include aching pain, heaviness, burning, swelling, throbbing, muscle cramps, and itching around the affected veins. Symptoms may worsen after standing or sitting for long periods. In severe cases, varicose veins can lead to complications such as skin ulcers, blood clots (deep vein thrombosis), or bleeding from ruptured veins. Risk factors include aging, prolonged standing or sitting, obesity, pregnancy, a family history of varicose veins, and hormonal changes. Diagnosis is typically based on a physical examination and may be confirmed through ultrasound to assess blood flow. Treatment options include lifestyle modifications such as regular exercise, wearing compression stockings, elevating the legs, and avoiding prolonged standing. Medical treatments include sclerotherapy (injection therapy), laser therapy, radiofrequency ablation, or surgical procedures such as vein stripping and ligation for severe cases. Preventive measures include maintaining a healthy weight, avoiding high heels, staying physically active, and not crossing legs while sitting for extended periods.",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
AIDS,"Acquired Immunodeficiency Syndrome (AIDS) is a life-threatening condition caused by the human immunodeficiency virus (HIV), which attacks and weakens the immune system by destroying CD4+ T cells. As a result, the body becomes more vulnerable to infections, diseases, and certain cancers. HIV is primarily transmitted through unprotected sexual contact, sharing contaminated needles, transfusion of infected blood, or from mother to child during childbirth or breastfeeding. The early stages of HIV infection may present flu-like symptoms, including fever, sore throat, swollen lymph nodes, muscle aches, fatigue, and rash. As the disease progresses, symptoms may include persistent fever, night sweats, chronic diarrhea, rapid weight loss, oral thrush, and frequent infections. AIDS is diagnosed when the immune system is severely compromised, and the individual develops opportunistic infections such as tuberculosis, pneumonia, or Kaposi’s sarcoma. Diagnosis of HIV is confirmed through blood tests such as the ELISA test, Western blot, or rapid HIV test. There is no cure for HIV/AIDS, but antiretroviral therapy (ART) can help suppress the virus, improve immune function, and prevent progression to AIDS. Preventive measures include practicing safe sex, avoiding shared needles, regular HIV testing, and taking pre-exposure prophylaxis (PrEP) medication for high-risk individuals.",avoid open cuts,wear ppe if possible,consult doctor,follow up
Paralysis (brain hemorrhage),"Paralysis due to a brain hemorrhage, also known as intracerebral hemorrhage (ICH), occurs when a blood vessel in the brain bursts, causing blood to leak into brain tissue and damaging brain cells. This condition can be life-threatening and requires immediate medical attention. Common causes of brain hemorrhage include high blood pressure (hypertension), head trauma, aneurysms, blood clotting disorders, brain tumors, and the use of anticoagulant medications. Symptoms of brain hemorrhage often appear suddenly and may include severe headache, weakness or numbness (especially on one side of the body), difficulty speaking or understanding speech, vision problems, dizziness, loss of coordination, confusion, nausea, vomiting, and loss of consciousness. In severe cases, the hemorrhage can lead to complete paralysis, coma, or death. Diagnosis is made through imaging tests such as CT scans, MRI, or cerebral angiography. Treatment focuses on stabilizing the patient, controlling bleeding, reducing brain swelling, and preventing further complications. In some cases, surgery may be necessary to remove the blood clot or repair damaged blood vessels. Rehabilitation, including physical therapy, speech therapy, and occupational therapy, is essential for recovery and improving mobility and function. Preventive measures include managing high blood pressure, avoiding excessive alcohol consumption, quitting smoking, and monitoring anticoagulant medication use.",massage,eat healthy,exercise,consult doctor
Typhoid,"Typhoid fever is a bacterial infection caused by Salmonella Typhi, transmitted through contaminated food or water. It is common in areas with poor sanitation and can lead to serious complications if left untreated. The bacteria enter the digestive tract and spread through the bloodstream, affecting multiple organs. Symptoms of typhoid fever develop gradually, beginning with prolonged high fever, headache, fatigue, abdominal pain, constipation or diarrhea, loss of appetite, chills, muscle aches, weakness, and a distinctive rose-colored rash on the chest and abdomen. As the infection progresses, it can lead to complications such as intestinal perforation, internal bleeding, meningitis, and septicemia. Diagnosis is confirmed through blood, stool, or urine cultures, along with the Widal test. Treatment involves antibiotics such as azithromycin, ciprofloxacin, or ceftriaxone to eliminate the bacteria. Supportive care includes hydration, bed rest, and a soft, easily digestible diet. Preventive measures include maintaining proper hygiene, drinking clean water, avoiding raw or unwashed foods, and receiving the typhoid vaccine before traveling to high-risk areas. In severe cases, hospitalization may be required to manage complications.",eat high calorie vegitables,antiboitic therapy,consult doctor,medication
